3-letter ISO country code,Country name,Currency unit,Year,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),Output-side real GDP at chained PPPs (in mil. 2017US$),Population (in millions),Number of persons engaged (in millions),Average annual hours worked by persons engaged,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.","Real consumption of households and government, at current PPPs (in mil. 2017US$)","Real domestic absorption, (real consumption plus investment), at current PPPs (in mil. 2017US$)",Expenditure-side real GDP at current PPPs (in mil. 2017US$),Output-side real GDP at current PPPs (in mil. 2017US$),Capital stock at current PPPs (in mil. 2017US$),Capital services levels at current PPPs (USA=1),TFP level at current PPPs (USA=1),Welfare-relevant TFP levels at current PPPs (USA=1),Real GDP at constant 2017 national prices (in mil. 2017US$),Real consumption at constant 2017 national prices (in mil. 2017US$),Real domestic absorption at constant 2017 national prices (in mil. 2017US$),Capital stock at constant 2017 national prices (in mil. 2017US$),Capital services at constant 2017 national prices (2017=1),TFP at constant national prices (2017=1),Welfare-relevant TFP at constant national prices (2017=1),Share of labour compensation in GDP at current national prices,Real internal rate of return,Average depreciation rate of the capital stock,"Exchange rate, national currency/USD (market+estimated)","Price level of CCON (PPP/XR), price level of USA GDPo in 2017=1","Price level of CDA (PPP/XR), price level of USA GDPo in 2017=1","Price level of CGDPo (PPP/XR), price level of USA GDPo in 2017=1","0/1/2/3/4: relative price data for consumption, investment and government is extrapolated (0), benchmark (1), interpolated (2), ICP PPP timeseries: benchmark or interpolated (3) or  ICP PPP timeseries: extrapolated (4)","0/1/2: relative price data for exports and imports is extrapolated (0), benchmark (1) or interpolated (2)",0/1: the exchange rate is market-based (0) or estimated (1),0/1: the observation on pl_gdpe or pl_gdpo is not an outlier (0) or an outlier (1),"0/1/2/3: the observation for irr is not an outlier (0), may be biased due to a low capital share (1), hit the lower bound of 1 percent (2), or is an outlier (3)",Correlation between expenditure shares of the country and the US (benchmark observations only),"Statistical capacity indicator (source: World Bank, developing countries only)",Share of household consumption at current PPPs,Share of gross capital formation at current PPPs,Share of government consumption at current PPPs,Share of merchandise exports at current PPPs,Share of merchandise imports at current PPPs,Share of residual trade and GDP statistical discrepancy at current PPPs,"Price level of household consumption,  price level of USA GDPo in 2017=1","Price level of capital formation,  price level of USA GDPo in 2017=1","Price level of government consumption,  price level of USA GDPo in 2017=1","Price level of exports, price level of USA GDPo in 2017=1","Price level of imports, price level of USA GDPo in 2017=1","Price level of the capital stock, price level of USA in 2017=1","Price level of the capital services, price level of USA=1",Labour_hours,gdp_per_capita_column,log A (Total Factor Productivity),log A' (Total Factor Productivity),log Labour Productivity,k (K/L),k tilde(K/AL)
ARG,Argentina,Argentine Peso,1988-01-01,185694.28125,188858.359375,31.668948999999998,11.396119117736816,1874.123837491852,2.485077142715454,148510.0,171697.5,178657.203125,183153.265625,514488.90625,0.010894468054175377,0.6193116307258606,0.568254292011261,487682.625,355228.3125,403276.03125,1832470.25,0.5018044114112854,0.9081149697303772,0.7467950582504272,0.4410236179828644,0.127717062830925,0.029129857197403908,0.0008752604166666667,0.7318281531333923,0.7696979641914368,0.7508033514022827,,,,,,,,0.7243516445159912,0.12660162150859833,0.08649934828281403,0.11074785888195038,-0.059425801038742065,0.011225350201129913,0.7102415561676025,1.0122443437576294,0.9125961065292358,0.450347900390625,0.48893028497695923,0.8983159065246582,3.5519840717315674,21357.73849344718,22.834001134980983,1.7926488830803513,0.8823451806673348,10.664147245480939,85.79888973555063,14.287102156725933
ARG,Argentina,Argentine Peso,1989-01-01,182602.875,181887.0,32.148134,11.496272087097168,1862.0,2.5069570541381836,144786.3125,164168.890625,176131.296875,176769.03125,593162.75,0.012038513086736202,0.5579028725624084,0.5107389092445374,453493.375,326656.125,361241.65625,1838712.0,0.5021355748176575,0.8400448560714722,0.665464460849762,0.4410236179828644,0.11898470669984818,0.02875625714659691,0.04233396083333334,0.453125536441803,0.4714917838573456,0.4697907567024231,,,,,,,,0.7019028663635254,0.1096491813659668,0.11716767400503159,0.11692425608634949,-0.04895852133631706,0.0033145674970000982,0.451842725276947,0.6086860299110413,0.4608103334903717,0.4628005623817444,0.48536407947540283,0.5015121102333069,1.7609238624572754,21406.058626174927,21.185281369148303,1.7173626824701078,0.7982929938203417,10.58271312335428,85.89680296173988,15.421828296669313
ARG,Argentina,Argentine Peso,1990-01-01,196718.6875,204212.6875,32.618651,11.811478614807129,1850.0,2.529029607772827,163169.59375,180720.796875,192021.3125,199903.0,688641.75,0.013481494039297104,0.5761784315109253,0.5144842267036438,447422.84375,332186.53125,357974.59375,1835794.0,0.4995964765548706,0.8204628825187683,0.6528125405311584,0.4410236179828644,0.11111515015363693,0.028351619839668274,0.4875890833333334,0.7632319331169128,0.7977537512779236,0.7663002610206604,,,,,,,,0.7518317103385925,0.08779864013195038,0.06441214680671692,0.13142497837543488,-0.04029923677444458,0.004831745754927397,0.7140446305274963,1.1186950206756592,1.3373562097549438,0.4701356887817383,0.5060438513755798,0.8475522398948669,2.767967700958252,21851.23543739319,20.475860279476112,1.6899541741232718,0.7621184991995739,10.542187563020482,84.01328177803968,15.502801175950616
ARG,Argentina,Argentine Peso,1991-01-01,236273.546875,240402.0,33.079,12.190682411193848,1837.960826568401,2.552567958831787,200487.75,226367.234375,230428.0625,233580.890625,820000.5625,0.0156440157443285,0.609840452671051,0.5888810753822327,494384.53125,378736.28125,416180.90625,1850989.625,0.503279447555542,0.8892956972122192,0.7444902062416077,0.4410236179828644,0.14685119688510895,0.028010526672005653,0.9535544166666666,0.8699337244033813,0.8922069668769836,0.8801642060279846,,,,,,,,0.8007389307022095,0.1107945591211319,0.05758362635970116,0.0958886593580246,-0.06463329493999481,-0.0003725256538018584,0.8110222220420837,1.064756989479065,1.6891374588012695,0.5346489548683167,0.5481356382369995,0.7664106488227844,3.0991899967193604,22405.996720910713,22.064831009664868,1.7697408618339463,0.8326409667117892,10.610396973555082,82.61134945505628,14.075084982741194
ARG,Argentina,Argentine Peso,1992-01-01,284181.96875,283126.84375,33.529326,12.385934829711914,1826.0,2.5709738731384277,241315.03125,280507.46875,277157.09375,276399.125,1005502.375,0.01892576739192009,0.6264113783836365,0.6317803263664246,545328.4375,430211.84375,483840.5,1889457.875,0.5155446529388428,0.9607827067375183,0.8477440476417542,0.4410236179828644,0.17241394519805908,0.02803046442568302,0.9906416666666666,0.8826920390129089,0.894544780254364,0.89699786901474,,,,,,,,0.7998212575912476,0.14179657399654388,0.07324601709842682,0.09460645169019699,-0.10798467695713043,-0.0014856854686513543,0.842535674571991,0.967523992061615,1.3211853504180908,0.4678906202316284,0.4979974925518036,0.6587207317352295,2.9557690620422363,22616.716999053955,24.111741660949765,1.8550921561336937,0.9108073900414331,10.692581988853826,83.54253515570076,13.06927099465143
ARG,Argentina,Argentine Peso,1993-01-01,326765.25,325027.75,33.970110999999996,12.345012664794922,1850.3378069963333,2.58705997467041,271769.53125,324415.375,318624.90625,316009.75,1246331.5,0.023102929815649986,0.6371707916259766,0.6453102231025696,579420.625,454733.5625,519162.25,1940462.0,0.5321564078330994,0.9957846403121948,0.8872990608215332,0.4410236179828644,0.1690414547920227,0.02837325818836689,0.9989458333333334,0.7965002059936523,0.8052511215209961,0.8119149804115295,,,,,,,,0.759613037109375,0.16659565269947052,0.10039058327674866,0.08515497297048569,-0.10782704502344131,-0.0039272066205739975,0.7575659155845642,0.8504251837730408,1.0910996198654175,0.4874708950519562,0.4922437071800232,0.5579535365104675,2.346054792404175,22842.443661518595,25.365964937285497,1.9007900128112452,0.9502679267796679,10.756531812151879,84.94984287819386,12.695796897377932
ARG,Argentina,Argentine Peso,1994-01-01,381534.0,378639.9375,34.402671999999995,12.416181564331055,1875.0,2.6032464504241943,313372.21875,381858.375,370608.75,368028.5,1529539.875,0.02737170085310936,0.657434344291687,0.6725975871086121,613236.9375,478203.375,553414.0,2002753.0,0.5526843070983887,1.0203627347946167,0.9157393574714661,0.43184515833854675,0.18194490671157837,0.028896618634462357,0.9990083333333334,0.7555078864097595,0.7535358667373657,0.7588189244270325,,,,,,,,0.7374635338783264,0.18608927726745605,0.11402548849582672,0.08589226007461548,-0.1136784553527832,-0.0097920848056674,0.7368320822715759,0.744512677192688,0.8762941360473633,0.5010519027709961,0.5158376693725586,0.4706159830093384,2.0290143489837646,23280.340433120728,26.34140764658035,1.9347415062324718,0.9779822053226005,10.807506074695667,86.02765091659491,12.42769264816304
ARG,Argentina,Argentine Peso,1995-01-01,423577.25,424478.75,34.82817,11.83531379699707,1881.9611380085464,2.619534492492676,340965.5,411440.46875,411558.5625,412709.9375,1785510.25,0.03074149414896965,0.6924816966056824,0.6819812059402466,595788.8125,461052.5,524204.625,2044423.5,0.5654833316802979,0.9935498833656311,0.8693480491638184,0.39392945170402527,0.1803451031446457,0.029290858656167984,0.99975,0.6853441596031189,0.6796151399612427,0.6777191162109375,,,,,,,,0.6790322661399841,0.17076148092746735,0.14713026583194733,0.09481997042894363,-0.08902441710233688,-0.002719572279602289,0.7007973194122314,0.6518973708152771,0.6140251159667969,0.5356731414794922,0.54765784740448,0.43480777740478516,1.8383935689926147,22273.600622084858,26.748652928133218,1.9306434223286968,0.9676467949628128,10.826553784874642,91.78684374779085,13.314125652194125
ARG,Argentina,Argentine Peso,1996-01-01,548493.6875,548784.875,35.246373999999996,12.137214660644531,1888.948119986359,2.627023935317993,430066.0625,526521.375,530665.375,531039.1875,1927902.375,0.032253094017505646,0.8278177976608276,0.8104433417320251,628716.125,484128.125,553757.0,2093007.0,0.5807781219482422,1.0188851356506348,0.8924529552459717,0.3669727146625519,0.20092903077602386,0.0295268464833498,0.9996624999999999,0.56706702709198,0.5559638142585754,0.5555724501609802,,,,,,0.4869025692648086,,0.6029946804046631,0.1816350370645523,0.20686277747154236,0.08373155444860458,-0.08287017792463303,0.007646151818335056,0.6465851068496704,0.5064579844474792,0.33527567982673645,0.5354721546173096,0.5399456024169922,0.40328824520111084,1.8256295919418335,22926.56881509536,27.423036132037314,1.957165209334584,0.9913135873982337,10.855158797770748,91.29176794313494,12.895719173579254
ARG,Argentina,Argentine Peso,1997-01-01,568161.0,566384.25,35.657429,12.762511253356934,1895.9610418819373,2.6345345973968506,443913.6875,554267.5625,549969.5625,549191.0625,1980085.875,0.03213746100664139,0.8089302778244019,0.8062516450881958,679711.625,523364.75,607394.5625,2158917.75,0.6019428372383118,1.0547488927841187,0.9373262524604797,0.35687369108200073,0.21807362139225006,0.029947690665721893,0.9994999999999999,0.5940182209014893,0.577363908290863,0.5781823396682739,,,,,,,,0.6310540437698364,0.20093896985054016,0.17725063860416412,0.09256602823734283,-0.10633541643619537,0.004525715950876474,0.6505107879638672,0.510369598865509,0.39289137721061707,0.5199188590049744,0.5196952223777771,0.39753347635269165,1.8976267576217651,24197.22413294456,28.09047935686852,1.9880933823723184,1.019386839357543,10.882911841080045,89.22171147146709,12.21947547996745
